O,N,SSA,PV,RMIC,Dap,ID/IG,M,Anion,AML,PW,CD,Cs
4.2,6.3,543,0.9,11.11111111,6.629834254,0.99,2,1,1,1.6,0.5,110
4.2,6.3,543,0.9,11.11111111,6.629834254,0.99,2,1,1,1.6,1,97.8
4.2,6.3,543,0.9,11.11111111,6.629834254,0.99,2,1,1,1.6,2,89.8
4.2,6.3,543,0.9,11.11111111,6.629834254,0.99,2,1,1,1.6,3,84.9
4.2,6.3,543,0.9,11.11111111,6.629834254,0.99,2,1,1,1.6,5,78.4
4.2,6.3,543,0.9,11.11111111,6.629834254,0.99,2,1,1,1.6,10,67.2
4.2,6.3,543,0.9,11.11111111,6.629834254,0.99,2,1,1,1.6,15,58.2
10.8,5.7,1454,0.83,10.84337349,2.283356259,1.05,2,1,1,1.6,0.5,98
10.8,5.7,1454,0.83,10.84337349,2.283356259,1.05,2,1,1,1.6,1,81.7
10.8,5.7,1454,0.83,10.84337349,2.283356259,1.05,2,1,1,1.6,2,72.2
10.8,5.7,1454,0.83,10.84337349,2.283356259,1.05,2,1,1,1.6,3,67
10.8,5.7,1454,0.83,10.84337349,2.283356259,1.05,2,1,1,1.6,5,60.7
10.8,5.7,1454,0.83,10.84337349,2.283356259,1.05,2,1,1,1.6,10,50.9
10.8,5.7,1454,0.83,10.84337349,2.283356259,1.05,2,1,1,1.6,15,45.1
9.33,6.25,1021,1.07,67.97257591,4.191968658,0.84,3,0,10,1.8,0.2,122.3
9.33,6.25,1021,1.07,67.97257591,4.191968658,0.84,3,0,10,1.8,0.5,108.1
9.33,6.25,1021,1.07,67.97257591,4.191968658,0.84,3,0,10,1.8,1,103.8
9.33,6.25,1021,1.07,67.97257591,4.191968658,0.84,3,0,10,1.8,2,94.2
9.33,6.25,1021,1.07,67.97257591,4.191968658,0.84,3,0,10,1.8,5,85.6
9.33,6.25,1021,1.07,67.97257591,4.191968658,0.84,3,0,10,1.8,10,76
9.33,6.25,1021,1.07,67.97257591,4.191968658,0.84,3,0,10,1.8,20,59.1
8,8.12,1685,1.2,18.87240356,2.848664688,0.85,3,0,10,1.8,0.2,153.8
8,8.12,1685,1.2,18.87240356,2.848664688,0.85,3,0,10,1.8,0.5,146.9
8,8.12,1685,1.2,18.87240356,2.848664688,0.85,3,0,10,1.8,1,127.3
8,8.12,1685,1.2,18.87240356,2.848664688,0.85,3,0,10,1.8,2,117
8,8.12,1685,1.2,18.87240356,2.848664688,0.85,3,0,10,1.8,5,108.7
8,8.12,1685,1.2,18.87240356,2.848664688,0.85,3,0,10,1.8,10,95.5
8,8.12,1685,1.2,18.87240356,2.848664688,0.85,3,0,10,1.8,20,82.3
9.75,7.83,2370,2.18,28.98734177,3.679324895,0.85,3,0,10,1.8,0.2,250
9.75,7.83,2370,2.18,28.98734177,3.679324895,0.85,3,0,10,1.8,0.5,217.5
9.75,7.83,2370,2.18,28.98734177,3.679324895,0.85,3,0,10,1.8,1,184.3
9.75,7.83,2370,2.18,28.98734177,3.679324895,0.85,3,0,10,1.8,2,163.5
9.75,7.83,2370,2.18,28.98734177,3.679324895,0.85,3,0,10,1.8,5,156.8
9.75,7.83,2370,2.18,28.98734177,3.679324895,0.85,3,0,10,1.8,10,151.9
9.75,7.83,2370,2.18,28.98734177,3.679324895,0.85,3,0,10,1.8,20,149.2
9.75,7.83,2370,2.18,28.98734177,3.679324895,0.85,3,0,5,1.8,0.2,268
9.75,7.83,2370,2.18,28.98734177,3.679324895,0.85,3,0,20,1.8,0.2,210
4.41,12.14,494,0.27,62.96296296,2.186234818,3.1,2,1,1,1.6,0.2,138.5
4.41,12.14,494,0.27,62.96296296,2.186234818,3.1,2,1,1,1.6,0.5,112.9
4.41,12.14,494,0.27,62.96296296,2.186234818,3.1,2,1,1,1.6,1,98.1
4.41,12.14,494,0.27,62.96296296,2.186234818,3.1,2,1,1,1.6,2,89.3
4.41,12.14,494,0.27,62.96296296,2.186234818,3.1,2,1,1,1.6,5,77.6
4.41,12.14,494,0.27,62.96296296,2.186234818,3.1,2,1,1,1.6,10,69
4.41,12.14,494,0.27,62.96296296,2.186234818,3.1,2,1,1,1.6,20,61.8
4.41,12.14,494,0.27,62.96296296,2.186234818,3.1,2,1,1,1.6,40,48.7
4.41,12.14,494,0.27,62.96296296,2.186234818,3.1,2,1,1,1.6,60,38.7
4.41,12.14,494,0.27,62.96296296,2.186234818,3.1,2,1,1,1.6,80,28.8
5.51,5.19,642,0.58,15.51724138,3.613707165,3.5,2,1,1,1.6,0.2,149.9
5.51,5.19,642,0.58,15.51724138,3.613707165,3.5,2,1,1,1.6,0.5,128.2
5.51,5.19,642,0.58,15.51724138,3.613707165,3.5,2,1,1,1.6,1,112.4
5.51,5.19,642,0.58,15.51724138,3.613707165,3.5,2,1,1,1.6,2,102.5
5.51,5.19,642,0.58,15.51724138,3.613707165,3.5,2,1,1,1.6,5,90.9
5.51,5.19,642,0.58,15.51724138,3.613707165,3.5,2,1,1,1.6,10,83.2
5.51,5.19,642,0.58,15.51724138,3.613707165,3.5,2,1,1,1.6,20,73.8
5.51,5.19,642,0.58,15.51724138,3.613707165,3.5,2,1,1,1.6,40,63.3
5.51,5.19,642,0.58,15.51724138,3.613707165,3.5,2,1,1,1.6,60,55.4
5.51,5.19,642,0.58,15.51724138,3.613707165,3.5,2,1,1,1.6,80,46.9
7.41,0.53,1398.16,0.79,67.08860759,2.27,0.7,1,1,1,1.6,0.2,94.6
7.41,0.53,1398.16,0.79,67.08860759,2.27,0.7,1,1,1,1.6,0.5,84
7.41,0.53,1398.16,0.79,67.08860759,2.27,0.7,1,1,1,1.6,0.8,80.3
7.41,0.53,1398.16,0.79,67.08860759,2.27,0.7,1,1,1,1.6,1,77.9
7.41,0.53,1398.16,0.79,67.08860759,2.27,0.7,1,1,1,1.6,2,75
7.41,0.53,1398.16,0.79,67.08860759,2.27,0.7,1,1,1,1.6,5,71.3
7.41,0.53,1398.16,0.79,67.08860759,2.27,0.7,1,1,1,1.6,8,67.5
