O,N,SSA,PV,RMIC,Dap,ID/IG,Anion,CD,Cs
8.35,2.41,2511.0,2.17,43.779,3.46,2.07,1,2.0,130.8
3.55,7.37,933.1,0.38,81.32,1.63,1.09,1,0.3,128.7
7.6,3.95,1162.9,0.448,80.996,1.54,1.11,1,20.0,68.7
12.89,3.05,3224.9,1.93,48.187,2.39,0.94,0,20.0,118.7
9.44,0.8,2295.3,1.63,55.828,2.84,1.18,0,0.5,114.1
6.2,1.6,2691.3,1.77,32.768,2.63,1.088,0,10.0,101.1
6.98,2.3,2353.0,2.14,37.85,3.64,2.18,1,2.0,99.3
14.9,3.1,620.0,0.86,15.116,3.66,0.962,0,2.0,56.0
4.2,6.3,543.0,0.9,11.111,6.63,0.99,0,10.0,67.2
8.8,0.93,1207.3,0.55,70.909,1.8,1.05,0,0.5,73.8
6.1,2.34,2702.3,1.81,19.337,2.68,1.46,0,2.0,155.1
11.2,4.2,697.0,0.83,21.687,3.21,0.958,0,0.2,73.1
9.71,5.41,670.0,0.72,59.722,4.3,1.89,1,40.0,43.7
8.42,1.64,1949.0,1.133,45.808,2.33,0.917,0,20.0,94.0
4.77,0.0,1644.0,0.96,57.083,2.34,1.06,0,20.0,21.4
4.41,12.14,494.0,0.27,62.963,2.19,3.1,0,40.0,48.7
12.89,3.05,3224.9,1.93,48.187,2.39,0.94,0,0.2,196.8
8.42,1.64,1949.0,1.133,45.808,2.33,0.917,0,2.0,109.9
7.71,0.0,804.0,0.315,62.189,1.57,0.97,0,0.5,48.3
6.1,2.34,2702.3,1.81,19.337,2.68,1.46,0,10.0,117.2
4.89,1.74,1666.8,2.42,10.685,5.81,0.88,0,2.0,99.4
6.99,1.59,2465.9,1.29,0.0,2.09,0.912,0,0.5,65.0
3.55,7.37,933.1,0.38,81.32,1.63,1.09,1,3.0,106.5
5.51,5.19,642.0,0.58,15.517,3.61,3.5,0,5.0,90.9
7.48,2.67,3553.1,2.071,26.654,2.33,2.79,0,30.0,130.1
6.2,1.6,2691.3,1.77,32.768,2.63,1.088,0,0.1,189.3
9.44,0.8,2295.3,1.63,55.828,2.84,1.18,0,1.0,103.4
6.82,2.11,3407.6,1.953,29.391,2.29,2.41,0,20.0,113.7
2.75,0.95,1687.1,1.75,9.2,4.15,1.11,1,5.0,92.4
7.48,2.67,3553.1,2.071,26.654,2.33,2.79,0,1.0,183.0
5.51,5.19,642.0,0.58,15.517,3.61,3.5,0,10.0,83.2
7.41,0.53,1398.2,0.79,67.089,2.27,0.7,0,0.8,80.3
8.06,0.0,1770.0,0.721,57.627,1.63,1.1,0,4.0,122.1
3.37,0.0,3252.6,3.428,9.947,4.22,1.02,1,20.0,61.2
7.6,3.95,1162.9,0.448,80.996,1.54,1.11,1,0.2,119.0
15.17,1.8,225.2,0.1,92.012,1.81,1.08,0,2.0,24.5
6.1,2.34,2702.3,1.81,19.337,2.68,1.46,0,5.0,140.8
7.83,0.0,573.8,0.92,6.52,6.4,0.91,0,1.0,20.5
11.5,6.7,642.0,1.03,14.563,3.73,0.964,0,0.1,133.7
10.58,1.47,2290.0,0.93,88.172,1.62,0.957,0,2.0,43.4
9.33,6.25,1021.0,1.07,67.973,4.19,0.84,1,2.0,94.2
7.83,0.0,573.8,0.92,6.52,6.4,0.91,0,10.0,15.3
7.83,0.0,573.8,0.92,6.52,6.4,0.91,0,0.25,28.6
5.68,1.49,1640.1,1.41,32.624,7.91,0.95,0,0.3,81.0
21.55,3.29,1140.8,0.86,20.93,3.02,0.82,1,20.0,23.3
7.83,0.0,573.8,0.92,6.52,6.4,0.91,0,20.0,14.0
6.42,2.75,1301.6,3.04,9.719,9.34,0.92,0,1.0,56.8
11.92,0.0,2228.0,1.07,59.813,1.92,1.5,0,5.0,84.0
5.12,0.0,907.9,0.68,40.0,3.0,0.89,0,0.25,78.6
4.77,0.0,1644.0,0.96,57.083,2.34,1.06,0,0.1,52.9
1.9,1.3,1317.4,1.384,11.199,4.2,1.05,1,1.0,99.7
8.2,5.3,879.0,0.447,60.626,2.03,2.27,0,10.0,66.5
14.26,1.82,3166.0,1.7,51.765,2.15,1.044,0,0.5,93.5
6.1,7.2,1843.0,1.1,30.909,2.39,1.01,0,10.0,110.4
9.1,3.1,1055.0,0.95,36.842,3.6,1.06,0,0.2,165.0
8.2,5.3,879.0,0.447,60.626,2.03,2.27,0,0.1,136.8
11.38,8.71,499.8,0.504,20.488,4.04,1.07,0,10.0,66.4
6.1,7.2,1843.0,1.1,30.909,2.39,1.01,0,0.5,181.0
7.21,3.67,1777.0,1.56,57.692,3.51,2.0,1,1.0,93.9
11.5,6.7,642.0,1.03,14.563,3.73,0.964,0,0.2,102.5
11.5,6.7,642.0,1.03,14.563,3.73,0.964,0,100.0,39.7
14.26,1.82,3166.0,1.7,51.765,2.15,1.044,0,20.0,45.8
7.71,0.0,804.0,0.315,62.189,1.57,0.97,0,1.0,43.4
12.89,3.05,3224.9,1.93,48.187,2.39,0.94,0,3.0,144.4
9.92,0.0,1667.3,1.23,52.846,2.95,1.1,0,1.0,92.4
7.6,3.95,1162.9,0.448,80.996,1.54,1.11,1,5.0,88.3
14.9,3.1,620.0,0.86,15.116,3.66,0.962,0,50.0,39.1
2.75,0.95,1687.1,1.75,9.2,4.15,1.11,1,30.0,72.4
8.0,8.12,1685.0,1.2,18.872,2.85,0.85,1,20.0,82.3
2.05,4.25,1141.9,0.575,77.555,2.01,1.08,1,8.0,106.5
9.71,5.41,670.0,0.72,59.722,4.3,1.89,1,0.2,92.4
11.5,6.7,642.0,1.03,14.563,3.73,0.964,0,200.0,30.6
3.55,7.37,933.1,0.38,81.32,1.63,1.09,1,30.0,67.2
6.3,0.0,1886.0,0.93,70.968,1.98,1.04,0,2.0,67.1
4.77,0.0,1644.0,0.96,57.083,2.34,1.06,0,10.0,26.9
7.6,3.95,1162.9,0.448,80.996,1.54,1.11,1,3.0,94.0
4.81,1.09,972.4,1.67,22.902,6.87,0.82,0,4.0,70.8
1.9,1.3,1317.4,1.384,11.199,4.2,1.05,1,0.5,103.0
5.12,0.0,907.9,0.68,40.0,3.0,0.89,0,2.0,58.1
9.71,5.41,670.0,0.72,59.722,4.3,1.89,1,5.0,61.1
9.75,7.83,2370.0,2.18,28.987,3.68,0.85,1,0.5,217.5
3.37,0.0,3252.6,3.428,9.947,4.22,1.02,1,1.0,89.5
14.9,3.1,620.0,0.86,15.116,3.66,0.962,0,0.5,69.7
21.55,3.29,1140.8,0.86,20.93,3.02,0.82,1,0.5,79.9
14.9,3.1,620.0,0.86,15.116,3.66,0.962,0,200.0,30.4
12.04,8.29,1530.9,0.96,38.542,2.51,0.86,1,5.0,134.2
9.75,7.83,2370.0,2.18,28.987,3.68,0.85,1,20.0,149.2
20.61,3.95,544.8,0.26,95.446,1.91,0.96,0,4.0,41.5
15.17,1.8,225.2,0.1,92.012,1.81,1.08,0,0.5,45.0
4.41,12.14,494.0,0.27,62.963,2.19,3.1,0,0.5,112.9
4.3,0.0,1655.0,0.81,71.605,1.95,1.05,0,20.0,45.3
5.68,1.49,1640.1,1.41,32.624,7.91,0.95,0,2.0,67.6
