O,N,SSA,PV,RMIC,Dap,ID/IG,Anion,CD,Cs
9.71,5.41,670,0.72,59.722,4.3,1.89,1,50,42.2
7.21,3.67,1777,1.56,57.692,3.51,2,1,0.1,153.4
7.21,3.67,1777,1.56,57.692,3.51,2,1,0.2,117.6
7.21,3.67,1777,1.56,57.692,3.51,2,1,0.5,101.3
7.21,3.67,1777,1.56,57.692,3.51,2,1,1,93.9
7.21,3.67,1777,1.56,57.692,3.51,2,1,2,90.1
7.21,3.67,1777,1.56,57.692,3.51,2,1,5,83.1
7.21,3.67,1777,1.56,57.692,3.51,2,1,10,77.7
7.21,3.67,1777,1.56,57.692,3.51,2,1,20,72.3
7.21,3.67,1777,1.56,57.692,3.51,2,1,40,66.9
7.21,3.67,1777,1.56,57.692,3.51,2,1,50,64.2
8.35,2.41,2511,2.17,43.779,3.46,2.07,1,0.1,191.4
8.35,2.41,2511,2.17,43.779,3.46,2.07,1,0.2,167.7
8.35,2.41,2511,2.17,43.779,3.46,2.07,1,0.5,149.1
8.35,2.41,2511,2.17,43.779,3.46,2.07,1,1,138.4
8.35,2.41,2511,2.17,43.779,3.46,2.07,1,2,130.8
8.35,2.41,2511,2.17,43.779,3.46,2.07,1,5,123.6
8.35,2.41,2511,2.17,43.779,3.46,2.07,1,10,116.7
8.35,2.41,2511,2.17,43.779,3.46,2.07,1,20,113.8
8.35,2.41,2511,2.17,43.779,3.46,2.07,1,40,105.6
8.35,2.41,2511,2.17,43.779,3.46,2.07,1,50,99.9
6.98,2.3,2353,2.14,37.85,3.64,2.18,1,0.1,158.6
6.98,2.3,2353,2.14,37.85,3.64,2.18,1,0.2,127.2
6.98,2.3,2353,2.14,37.85,3.64,2.18,1,0.5,112.1
6.98,2.3,2353,2.14,37.85,3.64,2.18,1,1,104
6.98,2.3,2353,2.14,37.85,3.64,2.18,1,2,99.3
6.98,2.3,2353,2.14,37.85,3.64,2.18,1,5,91.6
6.98,2.3,2353,2.14,37.85,3.64,2.18,1,10,86.2
6.98,2.3,2353,2.14,37.85,3.64,2.18,1,20,81.6
6.98,2.3,2353,2.14,37.85,3.64,2.18,1,40,76.1
6.98,2.3,2353,2.14,37.85,3.64,2.18,1,50,73.9
15.55,2.61,3139.2,1.74,55.747,2.22,1.02,0,0.1,189.4
15.55,2.61,3139.2,1.74,55.747,2.22,1.02,0,0.2,155
15.55,2.61,3139.2,1.74,55.747,2.22,1.02,0,0.5,136.6
15.55,2.61,3139.2,1.74,55.747,2.22,1.02,0,1,126.1
15.55,2.61,3139.2,1.74,55.747,2.22,1.02,0,2,117.1
15.55,2.61,3139.2,1.74,55.747,2.22,1.02,0,3,112.5
15.55,2.61,3139.2,1.74,55.747,2.22,1.02,0,4,109.3
15.55,2.61,3139.2,1.74,55.747,2.22,1.02,0,5,106.7
