O,N,SSA,PV,RMIC,Dap,IDperIG,M,Anion,AML,PW,CD,Cs
8.42,1.64,1949.0,1.133,45.80759046778464,2.3252950230887635,0.917,1,1,2.0,1.6,0.1,159.9
8.42,1.64,1949.0,1.133,45.80759046778464,2.3252950230887635,0.917,1,1,2.0,1.6,0.2,139.2
8.42,1.64,1949.0,1.133,45.80759046778464,2.3252950230887635,0.917,1,1,10.0,1.6,0.5,124.8
8.42,1.64,1949.0,1.133,45.80759046778464,2.3252950230887635,0.917,1,1,10.0,1.6,1.0,116.0
8.42,1.64,1949.0,1.133,45.80759046778464,2.3252950230887635,0.917,1,1,10.0,1.6,2.0,109.9
8.42,1.64,1949.0,1.133,45.80759046778464,2.3252950230887635,0.917,1,1,10.0,1.6,5.0,101.9
8.42,1.64,1949.0,1.133,45.80759046778464,2.3252950230887635,0.917,1,1,10.0,1.6,20.0,94.0
5.52,0.89,2276.0,1.331,20.961682945154024,2.3391915641476273,0.872,1,1,2.0,1.6,0.1,114.2
5.52,0.89,2276.0,1.331,20.961682945154024,2.3391915641476273,0.872,1,1,2.0,1.6,0.2,104.8
5.52,0.89,2276.0,1.331,20.961682945154024,2.3391915641476273,0.872,1,1,2.0,1.6,0.5,95.6
5.52,0.89,2276.0,1.331,20.961682945154024,2.3391915641476273,0.872,1,1,2.0,1.6,1.0,90.0
5.52,0.89,2276.0,1.331,20.961682945154024,2.3391915641476273,0.872,1,1,2.0,1.6,2.0,86.8
5.52,0.89,2276.0,1.331,20.961682945154024,2.3391915641476273,0.872,1,1,2.0,1.6,5.0,82.4
5.52,0.89,2276.0,1.331,20.961682945154024,2.3391915641476273,0.872,1,1,2.0,1.6,20.0,78.5
7.71,0.0,804.0,0.315,62.189054726368155,1.5671641791044777,0.97,1,1,1.2,1.6,0.5,48.3
7.71,0.0,804.0,0.315,62.189054726368155,1.5671641791044777,0.97,1,1,1.2,1.6,1.0,43.4
7.71,0.0,804.0,0.315,62.189054726368155,1.5671641791044777,0.97,1,1,1.2,1.6,2.0,38.9
7.71,0.0,804.0,0.315,62.189054726368155,1.5671641791044777,0.97,1,1,1.2,1.6,3.0,36.5
7.71,0.0,804.0,0.315,62.189054726368155,1.5671641791044777,0.97,1,1,1.2,1.6,4.0,34.8
7.71,0.0,804.0,0.315,62.189054726368155,1.5671641791044777,0.97,1,1,1.2,1.6,5.0,33.2
7.71,0.0,804.0,0.315,62.189054726368155,1.5671641791044777,0.97,1,1,1.2,1.6,7.0,30.2
7.71,0.0,804.0,0.315,62.189054726368155,1.5671641791044777,0.97,1,1,1.2,1.6,10.0,26.7
7.71,0.0,804.0,0.315,62.189054726368155,1.5671641791044777,0.97,1,1,1.2,1.6,15.0,24.7
7.71,0.0,804.0,0.315,62.189054726368155,1.5671641791044777,0.97,1,1,1.2,1.6,20.0,21.6
8.06,0.0,1770.0,0.721,57.6271186440678,1.6293785310734463,1.1,1,1,1.2,1.6,0.5,177.7
8.06,0.0,1770.0,0.721,57.6271186440678,1.6293785310734463,1.1,1,1,1.2,1.6,1.0,148.5
8.06,0.0,1770.0,0.721,57.6271186440678,1.6293785310734463,1.1,1,1,1.2,1.6,2.0,135.5
8.06,0.0,1770.0,0.721,57.6271186440678,1.6293785310734463,1.1,1,1,1.2,1.6,3.0,127.9
8.06,0.0,1770.0,0.721,57.6271186440678,1.6293785310734463,1.1,1,1,1.2,1.6,4.0,122.1
8.06,0.0,1770.0,0.721,57.6271186440678,1.6293785310734463,1.1,1,1,1.2,1.6,5.0,117.0
8.06,0.0,1770.0,0.721,57.6271186440678,1.6293785310734463,1.1,1,1,1.2,1.6,7.0,107.5
8.06,0.0,1770.0,0.721,57.6271186440678,1.6293785310734463,1.1,1,1,1.2,1.6,10.0,102.9
8.06,0.0,1770.0,0.721,57.6271186440678,1.6293785310734463,1.1,1,1,1.2,1.6,15.0,91.3
8.06,0.0,1770.0,0.721,57.6271186440678,1.6293785310734463,1.1,1,1,1.2,1.6,20.0,85.5
9.3,0.0,1781.0,0.784,53.340819764177425,1.7608085345311624,1.18,1,1,1.2,1.6,0.5,108.2
9.3,0.0,1781.0,0.784,53.340819764177425,1.7608085345311624,1.18,1,1,1.2,1.6,1.0,96.6
9.3,0.0,1781.0,0.784,53.340819764177425,1.7608085345311624,1.18,1,1,1.2,1.6,2.0,86.9
9.3,0.0,1781.0,0.784,53.340819764177425,1.7608085345311624,1.18,1,1,1.2,1.6,3.0,82.0
9.3,0.0,1781.0,0.784,53.340819764177425,1.7608085345311624,1.18,1,1,1.2,1.6,4.0,78.7
9.3,0.0,1781.0,0.784,53.340819764177425,1.7608085345311624,1.18,1,1,1.2,1.6,5.0,75.2
9.3,0.0,1781.0,0.784,53.340819764177425,1.7608085345311624,1.18,1,1,1.2,1.6,7.0,72.0
9.3,0.0,1781.0,0.784,53.340819764177425,1.7608085345311624,1.18,1,1,1.2,1.6,10.0,67.1
9.3,0.0,1781.0,0.784,53.340819764177425,1.7608085345311624,1.18,1,1,1.2,1.6,15.0,60.5
9.3,0.0,1781.0,0.784,53.340819764177425,1.7608085345311624,1.18,1,1,1.2,1.6,20.0,57.0
6.99,1.59,2465.9,1.29,0.0,2.092542276653554,0.912,2,1,2.0,1.8,0.05,108.5
6.99,1.59,2465.9,1.29,0.0,2.092542276653554,0.912,2,1,2.0,1.8,0.1,85.9
6.99,1.59,2465.9,1.29,0.0,2.092542276653554,0.912,2,1,2.0,1.8,0.2,73.1
6.99,1.59,2465.9,1.29,0.0,2.092542276653554,0.912,2,1,2.0,1.8,0.3,68.7
6.99,1.59,2465.9,1.29,0.0,2.092542276653554,0.912,2,1,2.0,1.8,0.5,65.0
6.99,1.59,2465.9,1.29,0.0,2.092542276653554,0.912,2,1,2.0,1.8,1.0,60.8
6.99,1.59,2465.9,1.29,0.0,2.092542276653554,0.912,2,1,2.0,1.8,2.0,55.3
6.99,1.59,2465.9,1.29,0.0,2.092542276653554,0.912,2,1,2.0,1.8,3.0,52.7
6.99,1.59,2465.9,1.29,0.0,2.092542276653554,0.912,2,1,2.0,1.8,5.0,49.2
6.99,1.59,2465.9,1.29,0.0,2.092542276653554,0.912,2,1,2.0,1.8,10.0,44.5
6.99,1.59,2465.9,1.29,0.0,2.092542276653554,0.912,2,1,2.0,1.8,15.0,41.6
6.99,1.59,2465.9,1.29,0.0,2.092542276653554,0.912,2,1,2.0,1.8,20.0,41.0
3.9,9.7,844.0,0.41,77.3696682464455,1.9431279620853081,0.99,1,1,1.0,2.0,0.1,189.4
3.9,9.7,844.0,0.41,77.3696682464455,1.9431279620853081,0.99,1,1,1.0,2.0,0.2,154.5
3.9,9.7,844.0,0.41,77.3696682464455,1.9431279620853081,0.99,1,1,1.0,2.0,0.5,131.5
3.9,9.7,844.0,0.41,77.3696682464455,1.9431279620853081,0.99,1,1,1.0,2.0,1.0,130.4
3.9,9.7,844.0,0.41,77.3696682464455,1.9431279620853081,0.99,1,1,1.0,2.0,2.0,117.9
3.9,9.7,844.0,0.41,77.3696682464455,1.9431279620853081,0.99,1,1,1.0,2.0,3.0,112.3
3.9,9.7,844.0,0.41,77.3696682464455,1.9431279620853081,0.99,1,1,1.0,2.0,4.0,107.7
3.9,9.7,844.0,0.41,77.3696682464455,1.9431279620853081,0.99,1,1,1.0,2.0,5.0,104.9
3.9,9.7,844.0,0.41,77.3696682464455,1.9431279620853081,0.99,1,1,1.0,2.0,7.0,102.2
3.9,9.7,844.0,0.41,77.3696682464455,1.9431279620853081,0.99,1,1,1.0,2.0,10.0,100.3
4.81,1.09,972.4,1.67,22.9020979020979,6.869600987248046,0.82,2,1,2.5,1.6,0.2,104.9
4.81,1.09,972.4,1.67,22.9020979020979,6.869600987248046,0.82,2,1,2.5,1.6,0.5,91.0
4.81,1.09,972.4,1.67,22.9020979020979,6.869600987248046,0.82,2,1,2.5,1.6,1.0,84.9
4.81,1.09,972.4,1.67,22.9020979020979,6.869600987248046,0.82,2,1,2.5,1.6,2.0,78.2
4.81,1.09,972.4,1.67,22.9020979020979,6.869600987248046,0.82,2,1,2.5,1.6,3.0,74.2
4.81,1.09,972.4,1.67,22.9020979020979,6.869600987248046,0.82,2,1,2.5,1.6,4.0,70.8
4.81,1.09,972.4,1.67,22.9020979020979,6.869600987248046,0.82,2,1,2.5,1.6,5.0,68.5
4.81,1.09,972.4,1.67,22.9020979020979,6.869600987248046,0.82,2,1,2.5,1.6,10.0,60.3
4.81,1.09,972.4,1.67,22.9020979020979,6.869600987248046,0.82,2,1,2.5,1.6,15.0,56.5
4.81,1.09,972.4,1.67,22.9020979020979,6.869600987248046,0.82,2,1,2.5,1.6,20.0,52.1
4.81,1.09,972.4,1.67,22.9020979020979,6.869600987248046,0.82,2,1,2.5,1.6,30.0,44.8
4.89,1.74,1666.8,2.42,10.68514518838493,5.807535397168227,0.88,2,1,2.5,1.6,0.2,132.9
