O,N,B,S,P,SSA,PV,RMIC,Dap,ID/IG,M,Anion,CC,AML,PW,CD,Cs
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.20961682945154023,2.3391915641476273,0.872,1,SO4,stainless-steel mesh,2.0,1.6,0.2,104.8
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.20961682945154023,2.3391915641476273,0.872,1,SO4,stainless-steel mesh,2.0,1.6,0.5,95.6
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.20961682945154023,2.3391915641476273,0.872,1,SO4,stainless-steel mesh,2.0,1.6,1.0,90.0
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.20961682945154023,2.3391915641476273,0.872,1,SO4,stainless-steel mesh,2.0,1.6,2.0,86.8
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.20961682945154023,2.3391915641476273,0.872,1,SO4,stainless-steel mesh,2.0,1.6,5.0,82.4
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.20961682945154023,2.3391915641476273,0.872,1,SO4,stainless-steel mesh,2.0,1.6,20.0,78.5
7.71,0.0,0.0,0.0,0.0,804.0,0.315,0.6218905472636815,1.5671641791044777,0.97,1,SO4,stainless-steel mesh,1.2,1.6,0.5,48.3
7.71,0.0,0.0,0.0,0.0,804.0,0.315,0.6218905472636815,1.5671641791044777,0.97,1,SO4,stainless-steel mesh,1.2,1.6,1.0,43.4
7.71,0.0,0.0,0.0,0.0,804.0,0.315,0.6218905472636815,1.5671641791044777,0.97,1,SO4,stainless-steel mesh,1.2,1.6,2.0,38.9
7.71,0.0,0.0,0.0,0.0,804.0,0.315,0.6218905472636815,1.5671641791044777,0.97,1,SO4,stainless-steel mesh,1.2,1.6,3.0,36.5
7.71,0.0,0.0,0.0,0.0,804.0,0.315,0.6218905472636815,1.5671641791044777,0.97,1,SO4,stainless-steel mesh,1.2,1.6,4.0,34.8
7.71,0.0,0.0,0.0,0.0,804.0,0.315,0.6218905472636815,1.5671641791044777,0.97,1,SO4,stainless-steel mesh,1.2,1.6,5.0,33.2
7.71,0.0,0.0,0.0,0.0,804.0,0.315,0.6218905472636815,1.5671641791044777,0.97,1,SO4,stainless-steel mesh,1.2,1.6,7.0,30.2
7.71,0.0,0.0,0.0,0.0,804.0,0.315,0.6218905472636815,1.5671641791044777,0.97,1,SO4,stainless-steel mesh,1.2,1.6,10.0,26.7
7.71,0.0,0.0,0.0,0.0,804.0,0.315,0.6218905472636815,1.5671641791044777,0.97,1,SO4,stainless-steel mesh,1.2,1.6,15.0,24.7
7.71,0.0,0.0,0.0,0.0,804.0,0.315,0.6218905472636815,1.5671641791044777,0.97,1,SO4,stainless-steel mesh,1.2,1.6,20.0,21.6
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,0.576271186440678,1.6293785310734463,1.1,1,SO4,stainless-steel mesh,1.2,1.6,0.5,177.7
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,0.576271186440678,1.6293785310734463,1.1,1,SO4,stainless-steel mesh,1.2,1.6,1.0,148.5
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,0.576271186440678,1.6293785310734463,1.1,1,SO4,stainless-steel mesh,1.2,1.6,2.0,135.5
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,0.576271186440678,1.6293785310734463,1.1,1,SO4,stainless-steel mesh,1.2,1.6,3.0,127.9
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,0.576271186440678,1.6293785310734463,1.1,1,SO4,stainless-steel mesh,1.2,1.6,4.0,122.1
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,0.576271186440678,1.6293785310734463,1.1,1,SO4,stainless-steel mesh,1.2,1.6,5.0,117.0
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,0.576271186440678,1.6293785310734463,1.1,1,SO4,stainless-steel mesh,1.2,1.6,7.0,107.5
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,0.576271186440678,1.6293785310734463,1.1,1,SO4,stainless-steel mesh,1.2,1.6,10.0,102.9
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,0.576271186440678,1.6293785310734463,1.1,1,SO4,stainless-steel mesh,1.2,1.6,15.0,91.3
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,0.576271186440678,1.6293785310734463,1.1,1,SO4,stainless-steel mesh,1.2,1.6,20.0,85.5
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,0.5334081976417743,1.7608085345311624,1.18,1,SO4,stainless-steel mesh,1.2,1.6,0.5,108.2
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,0.5334081976417743,1.7608085345311624,1.18,1,SO4,stainless-steel mesh,1.2,1.6,1.0,96.6
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,0.5334081976417743,1.7608085345311624,1.18,1,SO4,stainless-steel mesh,1.2,1.6,2.0,86.9
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,0.5334081976417743,1.7608085345311624,1.18,1,SO4,stainless-steel mesh,1.2,1.6,3.0,82.0
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,0.5334081976417743,1.7608085345311624,1.18,1,SO4,stainless-steel mesh,1.2,1.6,4.0,78.7
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,0.5334081976417743,1.7608085345311624,1.18,1,SO4,stainless-steel mesh,1.2,1.6,5.0,75.2
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,0.5334081976417743,1.7608085345311624,1.18,1,SO4,stainless-steel mesh,1.2,1.6,7.0,72.0
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,0.5334081976417743,1.7608085345311624,1.18,1,SO4,stainless-steel mesh,1.2,1.6,10.0,67.1
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,0.5334081976417743,1.7608085345311624,1.18,1,SO4,stainless-steel mesh,1.2,1.6,15.0,60.5
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,0.5334081976417743,1.7608085345311624,1.18,1,SO4,stainless-steel mesh,1.2,1.6,20.0,57.0
6.99,1.59,0.0,0.0,0.0,2465.9,1.29,0.0,2.092542276653554,0.912,2,SO4,nickel foam,2.0,1.8,0.05,108.5
6.99,1.59,0.0,0.0,0.0,2465.9,1.29,0.0,2.092542276653554,0.912,2,SO4,nickel foam,2.0,1.8,0.1,85.9
6.99,1.59,0.0,0.0,0.0,2465.9,1.29,0.0,2.092542276653554,0.912,2,SO4,nickel foam,2.0,1.8,0.2,73.1
